Time,HeartRate,BodyTemp,EnvTemp,Humidity
2026-03-17 14:37:29.589563,135.0,36.06,32.6,71.0
2026-03-17 14:37:32.602632,135.0,36.06,32.6,70.9
2026-03-17 14:37:35.615437,0.0,36.13,32.6,70.9
2026-03-17 14:37:38.628815,54.0,36.13,32.6,70.9
2026-03-17 14:37:41.641567,90.0,36.13,32.6,70.7
2026-03-17 14:37:44.654693,102.0,36.06,32.6,70.4
2026-03-17 14:37:47.669786,102.0,36.0,32.6,70.3
2026-03-17 14:37:50.682147,103.0,35.94,32.6,70.2
2026-03-17 14:37:53.696444,106.0,35.94,32.6,70.1
2026-03-17 14:37:56.708038,110.0,35.94,32.6,69.9
2026-03-17 14:37:59.720915,96.0,35.94,32.6,69.8
2026-03-17 14:38:02.735873,99.0,35.94,32.6,69.8
2026-03-17 14:38:05.749005,129.0,35.88,32.6,69.7
2026-03-17 14:38:08.762277,102.0,35.88,32.6,69.5
2026-03-17 14:38:11.775149,124.0,35.88,32.6,69.5
2026-03-17 14:38:14.790676,135.0,35.94,32.6,69.3
2026-03-17 14:38:17.802474,157.0,35.94,32.6,69.1
2026-03-17 14:38:20.817526,110.0,35.94,32.7,69.0
2026-03-17 14:38:23.829526,87.0,35.94,32.7,68.9
2026-03-17 14:38:26.844625,124.0,36.0,32.6,68.8
2026-03-17 14:38:29.856529,96.0,36.0,32.6,68.8
2026-03-17 14:38:32.871951,119.0,35.94,32.7,68.7
2026-03-17 14:38:35.883949,124.0,36.0,32.7,68.7
2026-03-17 14:38:38.898040,103.0,36.0,32.6,68.6
2026-03-17 14:38:41.911925,99.0,36.0,32.7,68.5
2026-03-17 14:38:44.923848,96.0,36.06,32.6,68.3
2026-03-17 14:38:47.938954,85.0,36.06,32.6,68.2
2026-03-17 14:38:50.951187,119.0,36.06,32.6,68.1
2026-03-17 14:38:53.965178,124.0,36.06,32.6,68.0
2026-03-17 14:38:56.979143,110.0,36.13,32.6,68.0
2026-03-17 14:38:59.991260,93.0,36.13,32.6,68.0
2026-03-17 14:39:08.005577,0.0,36.13,32.7,68.1
2026-03-17 14:39:11.018741,119.0,36.19,32.7,68.1
2026-03-17 14:39:17.045782,124.0,36.19,32.7,68.0
2026-03-17 14:39:20.061191,114.0,36.25,32.7,67.8
2026-03-17 14:39:23.073049,123.0,36.19,32.7,67.7
2026-03-17 14:39:26.088437,110.0,36.25,32.7,67.7
2026-03-17 14:39:29.100295,93.0,36.25,32.7,67.7
2026-03-17 14:39:32.115430,135.0,36.25,32.7,67.7
2026-03-17 14:39:35.127232,93.0,36.25,32.7,67.7
2026-03-17 14:39:38.141220,119.0,36.31,32.7,67.7
2026-03-17 14:39:41.155295,114.0,36.31,32.7,67.7
2026-03-17 14:39:44.167363,124.0,36.31,32.7,67.6
2026-03-17 14:39:47.180287,114.0,36.38,32.7,67.5
2026-03-17 14:39:50.195350,99.0,36.38,32.7,67.4
2026-03-17 14:39:53.207271,102.0,36.38,32.8,67.4
2026-03-17 14:39:56.222333,114.0,36.38,32.8,67.3
2026-03-17 14:39:59.235408,129.0,36.38,32.8,67.3
2026-03-17 14:40:02.248564,124.0,36.38,32.8,67.3
2026-03-17 14:40:05.261473,52.0,36.38,32.8,67.3
2026-03-17 14:40:08.274628,114.0,36.38,32.8,67.3
2026-03-17 14:40:11.287705,119.0,36.38,32.8,67.2
2026-03-17 14:40:14.300531,0.0,36.44,32.8,67.2
2026-03-17 14:40:17.313691,0.0,36.44,32.8,67.4
2026-03-17 14:40:20.327654,0.0,36.44,32.8,67.3
2026-03-17 14:40:23.341191,0.0,36.44,32.8,67.3
2026-03-17 14:40:26.353704,0.0,36.44,32.8,67.3
2026-03-17 14:40:29.367126,0.0,36.44,32.8,67.2
2026-03-17 14:40:32.380658,0.0,36.44,32.8,67.1
2026-03-17 14:40:35.391940,0.0,36.5,32.8,67.2
2026-03-17 14:40:43.551337,0.0,36.5,32.9,67.1
2026-03-17 14:40:46.565236,0.0,36.5,32.9,67.2
2026-03-17 14:40:49.578278,0.0,36.5,32.9,67.3
2026-03-17 14:40:52.590628,0.0,36.5,32.9,67.4
2026-03-17 14:40:55.604406,0.0,36.5,32.9,67.3
2026-03-17 14:40:58.616573,0.0,36.5,32.9,67.3
2026-03-17 14:41:01.630565,0.0,36.5,32.9,67.2
2026-03-17 14:41:04.643956,0.0,36.5,32.9,67.2
2026-03-17 14:41:07.855677,0.0,36.56,32.9,67.2
2026-03-17 14:41:10.869962,0.0,36.56,32.9,67.2
2026-03-17 14:41:13.882668,0.0,36.5,32.9,67.2
2026-03-17 14:41:16.895751,0.0,36.5,32.9,67.2
